SAMPLE_NO,STATION_NO,STN_NO_NM_LOC,Station Type,SAMPLE_DATETIME,SAMPLE_DATETIME,M_LATITUDE,LONGITUDE,M_LONGITUDE,Secchi Flag,secchi.m,Chloro Flag,chla.ug.L,TP Flag,TP.mg.L,Ammonia flag,Ammonia (NH3-N) mg/L,NO2NO3 flag,Nitrate+Nitrite (NO3+NO2 -N) mg/L,Nitrate flag,Nitrate (NO3 -N) mg/L,Nitrite flag,Nitrite (NO2 -N) mg/L,TKN flag,Total Kjeldahl Nitrogen (TKN)  mg/L,TN.mg.L,TP(mg/L),TN:TP,MC,1.0 m Water Temp DegC,Perimeter (km),Surface area (km2),Volume (million m3),Maximum depth (m),Mean depth (m),Drainage basin area (km2),mean annual inflow (million m3),< or > ,Water residence time (yrs),Watershed vs lake surface area ratio,Natural region,Sub-region,Physiographic Regions
08SWE11332               ,AB06AC0670,MARIE LAKE - COMPOSITE (AB06AC0670),Lake,2008,27-Aug-08 09:45,54.606940,-110.290000,110.290000,,3.75,,2.29,,0.013,,0.008,,0.009,,,,,,0.55,0.559,,,0.1,17.73,29.83,34.60,484,26,29,386.00,17,,47.5,11.16,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE12019               ,AB06AC0670,MARIE LAKE - COMPOSITE (AB06AC0670),Lake,2008,22-Sep-08 09:30,54.606940,-110.290000,110.290000,,3.75,,1.99,,0.014,,0.032,L,0.005,,,,,,0.55,0.555,,,0.1,13.57,29.83,34.60,484,26,29,386.00,17,,47.5,11.16,Boreal,Central Mixedwood,Eastern Alberta Plains
09SWE09034               ,AB06AC0670,MARIE LAKE - COMPOSITE (AB06AC0670),Lake,2009,07-Jun-09 13:40,54.606940,-110.290000,110.290000,,2.5,,5.82,,0.032,,0.015,L,0.005,,,,,,0.65,0.655,,,0.13,9.08,29.83,34.60,484,26,29,386.00,17,,47.5,11.16,Boreal,Central Mixedwood,Eastern Alberta Plains
09SWE09399               ,AB06AC0670,MARIE LAKE - COMPOSITE (AB06AC0670),Lake,2009,27-Jul-09 08:45,54.606940,-110.290000,110.290000,,4,,2.22,,0.014,,0.021,L,0.005,,,,,,0.56,0.565,,,0.1,20.28,29.83,34.60,484,26,29,386.00,17,,47.5,11.16,Boreal,Central Mixedwood,Eastern Alberta Plains
09SWE09587               ,AB06AC0670,MARIE LAKE - COMPOSITE (AB06AC0670),Lake,2009,17-Aug-09 18:00,54.606940,-110.290000,110.290000,,3,,2.48,,0.013,,0.02,,0.006,,,,,,0.58,0.586,,,0.12,18.27,29.83,34.60,484,26,29,386.00,17,,47.5,11.16,Boreal,Central Mixedwood,Eastern Alberta Plains
09SWE09700               ,AB06AC0670,MARIE LAKE - COMPOSITE (AB06AC0670),Lake,2009,30-Aug-09 08:30,54.606940,-110.290000,110.290000,,4,,2.52,,0.02,,0.009,,0.009,,,,,,0.68,0.689,,,0.11,17.89,29.83,34.60,484,26,29,386.00,17,,47.5,11.16,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE08067               ,AB05EA0450,MATCHAYAW LAKE - COMPOSITE (AB05EA0450),Lake,2007,16-Jul-07 10:39,53.711390,-114.097780,114.097780,,0.8,,49.7,,0.072,,0.032,L,0.005,,,,0.002,,1.72,1.725,,,0.25,24.46,7.31,2.11,9.18,10,4.35,1018.00,,,,482.46,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE08084               ,AB05EA0450,MATCHAYAW LAKE - COMPOSITE (AB05EA0450),Lake,2007,07-Aug-07 10:30,53.711390,-114.097780,114.097780,,0.9,,65.7,,0.086,,0.018,L,0.005,,,,,,1.72,1.725,,,0.07,21.08,7.31,2.11,9.18,10,4.35,1018.00,,,,482.46,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE09512               ,AB05EA0450,MATCHAYAW LAKE - COMPOSITE (AB05EA0450),Lake,2007,27-Aug-07 11:30,53.711390,-114.097780,114.097780,,1.4,,27,,0.135,,0.45,,,,,,,,1.82,,,,2.80,16.39,7.31,2.11,9.18,10,4.35,1018.00,,,,482.46,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE09536               ,AB05EA0450,MATCHAYAW LAKE - COMPOSITE (AB05EA0450),Lake,2007,04-Oct-07 10:45,53.711390,-114.097780,114.097780,,1.8,,39.4,,0.127,,0.111,,0.017,,,,,,1.91,1.927,,,0.14,10.26,7.31,2.11,9.18,10,4.35,1018.00,,,,482.46,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE01499               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2005,26-Jun-05 09:45,54.294440,-115.658330,115.658330,,2.5,,2.6,,,,,,,,,,,,,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
05SWE01621               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2005,17-Jul-05 12:30,54.294440,-115.658330,115.658330,,2.25,,7.7,,0.0295,,,L,0.005,,,,,,0.69,0.695,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
05SWE02354               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2005,21-Aug-05 11:00,54.294440,-115.658330,115.658330,,2,,10.1,,,,,L,0.005,,,,,,0.86,0.865,,,0.10,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
05SWE02745               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2005,30-Aug-05 11:04,54.294440,-115.658330,115.658330,,2.5,,8.2,,0.0295,,,,0.066,,,,,,0.69,0.756,,,0.07,16.05,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE10040               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2006,23-Jun-06 00:00,54.294440,-115.658330,115.658330,,2.5,,4.18,,0.026,,,,,,,,,,,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE10425               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2006,24-Jul-06 08:00,54.294440,-115.658330,115.658330,,3.5,,3.34,,0.024,,,,,,,,,,,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE01742               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2006,13-Aug-06 12:24,54.294440,-115.658330,115.658330,,2.5,,6.43,,0.024,,,,,,,,,,,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE10710               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2006,28-Aug-06 09:15,54.294440,-115.658330,115.658330,,2.25,,14.8,,0.029,,,,,,,,,,,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE10799               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2006,05-Sep-06 10:00,54.294440,-115.658330,115.658330,,1.5,,22.9,,0.038,,,,,,,,,,,,,,0.38,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
07SWE10606               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2007,26-Jul-07 08:30,54.294440,-115.658330,115.658330,,3.5,,3.52,,0.024,,0.014,,0.009,,,,0.001,,0.59,0.599,,,0.25,21.31,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
07SWE10041               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2007,16-Aug-07 10:05,54.294440,-115.658330,115.658330,,2.5,,6.95,,0.034,,0.009,L,0.005,,,L,0.001,,0.66,0.665,,,0.21,17.31,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09464               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2008,29-Jun-08 09:30,54.294440,-115.658330,115.658330,,3.64,,3.16,,0.032,,0.016,,,,,,,,0.78,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09467               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2008,13-Jul-08 11:50,54.294440,-115.658330,115.658330,,5,,2.45,,0.023,,,,,,,,,,,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09476               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2008,27-Jul-08 16:00,54.294440,-115.658330,115.658330,,4,,3.14,,0.022,,,,,,,,,,,,,,0.07,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09481               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2008,17-Aug-08 12:04,54.294440,-115.658330,115.658330,,3,,8.75,,0.029,,,,,,,,,,,,,,0.12,,10.35,3.73,19,10.7,5.1,45.90,3.62,,5.5,12.31,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09486               ,AB07AE0440,MCLEOD LAKE - EAST COMPOSITE (AB07AE0440),Lake,2008,31-Aug-08 12:00,54.294440,-115.658330,115.658330,,2.25,,10.1,,0.035,,,,,,,,,,,,,,0.12,,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE08755               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2008,20-Jun-08 09:45,54.277780,-111.100000,111.100000,,8,,1.38,,0.06,,0.2,,0.075,,,,,,1.53,1.605,,,0.18,18.27,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE09019               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2008,16-Jul-08 09:20,54.277780,-111.100000,111.100000,,3.25,,7.89,,0.037,,0.02,,0.02,,,,,,1.52,1.54,,,0.07,20.1,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE11020               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2008,08-Aug-08 09:20,54.277780,-111.100000,111.100000,,4.5,,8.06,,0.042,,0.056,L,0.005,,,,0.001,,1.56,1.565,,,0.11,21.02,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE11363               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2008,01-Sep-08 09:15,54.277780,-111.100000,111.100000,,3.25,,5.42,,0.032,,0.014,L,0.005,,,,,,1.44,1.445,,,0.13,16.77,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE11569               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2008,16-Sep-08 09:30,54.277780,-111.100000,111.100000,,3.5,,3.53,,0.029,,0.02,,0.005,,,,,,1.47,1.475,,,0.09,15.15,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
09SWE09133               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2009,25-Jun-09 09:30,54.277780,-111.100000,111.100000,,2.25,,3.48,,0.049,,0.019,,0.01,,,,,,1.43,1.44,,,0.08,18.96,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
09SWE09280               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2009,15-Jul-09 10:00,54.277780,-111.100000,111.100000,,2.25,,3.79,,0.039,,0.01,,0.011,,,,,,1.53,1.541,,,0.11,18.23,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
09SWE09479               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2009,05-Aug-09 10:15,54.277780,-111.100000,111.100000,,1.25,,7.02,,0.047,,0.021,L,0.005,,,,,,1.69,1.695,,,0.12,20.22,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
09SWE09655               ,AB06AA0380,MINNIE LAKE - COMPOSITE (AB06AA0380),Lake,2009,20-Aug-09 10:00,54.277780,-111.100000,111.100000,,3,,1.82,,0.034,,0.093,,0.007,,,,,,1.48,1.487,,,0.14,18.36,6.35,0.85,6.915,23.8,8.2,,0.579,,12.3,,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE01921               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2005,03-Aug-05 19:30,53.251110,-112.903890,112.903890,,2.5,,6.3,,0.1452,,,,,,,,,,,,,,0.08,,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE02346               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2005,19-Aug-05 10:09,53.251110,-112.903890,112.903890,,2.5,,2,,0.1318,,,,,,,,,,,,,,0.07,,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE03187               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2005,15-Sep-05 10:24,53.251110,-112.903890,112.903890,,2.5,,5,,0.1348,,,,,,,,,,,,,,0.82,,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE10325               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2006,19-Jul-06 09:45,53.251110,-112.903890,112.903890,,1.15,,5.73,,0.122,,,L,0.005,,,,,,8.6,8.605,,,0.70,19.15,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE10596               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2006,17-Aug-06 09:45,53.251110,-112.903890,112.903890,,1.1,,4.89,,0.143,,,L,0.005,,,,,,8.44,8.445,,,0.42,18.37,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE10736               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2006,29-Aug-06 10:00,53.251110,-112.903890,112.903890,,0.75,,4.47,,0.203,,,L,0.005,,,,,,9.44,9.445,,,0.28,17.59,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE11002               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2006,21-Sep-06 12:30,53.251110,-112.903890,112.903890,,1.1,,3.62,,0.3,,,,0.06,,,,,,10.3,10.36,,,0.45,8.05,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE10029               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2007,27-Jun-07 15:30,53.251110,-112.903890,112.903890,,1,,3.58,,0.074,,,,,,,,,,,,,,0.33,,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE02404               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2007,25-Jul-07 09:44,53.251110,-112.903890,112.903890,,1.25,,3.79,,0.246,,,,,,,,,,,,,,0.07,,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE10037               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2007,09-Aug-07 07:45,53.251110,-112.903890,112.903890,,1.5,,2.69,,0.211,,,,,,,,,,,,,,2.27,,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE10064               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2007,30-Aug-07 13:00,53.251110,-112.903890,112.903890,,1.75,,2.37,,0.125,,,,,,,,,,,,,,2.40,,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE08154               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2008,17-Jun-08 09:20,53.251110,-112.903890,112.903890,,2,,4.6,,0.208,,0.112,L,0.005,,,,,,9.11,9.115,,,0.59,17.38,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE09682               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2008,17-Jul-08 14:15,53.251110,-112.903890,112.903890,,1.5,,3.9,,0.21,,0.25,,0.021,,,,,,9.11,9.131,,,0.69,19.8,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE09788               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2008,07-Aug-08 08:35,53.251110,-112.903890,112.903890,,1.2,,21.9,,0.331,,0.052,,0.026,,,,,,9.79,9.816,,,0.36,19.34,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE09941               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2008,05-Sep-08 15:15,53.251110,-112.903890,112.903890,,1.1,,4,,0.433,,0.37,,0.075,,,,,,10.6,10.675,,,0.5,14.13,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE11698               ,AB05EB1120,MIQUELON LAKE - COMPOSITE (AB05EB1120),Lake,2008,18-Sep-08 09:30,53.251110,-112.903890,112.903890,,1.1,,4.36,,0.477,,0.55,,0.081,,,,,,11.3,11.381,,,0.86,14.45,22.24,8.72,23.8,6,2.7,35.40,1.72,>,100,4.06,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE08345               ,AB05EC0320,MONS LAKE (NEAR SMOKY LAKE) COMPOSITE,Lake,2006,19-Jul-06 10:29,54.581390,-113.221110,113.221110,,1,,33.6,,0.048,,0.021,L,0.005,,,,,,1.85,1.855,,,0.11,21.30,6.42,2.80,,7,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE08544               ,AB05EC0320,MONS LAKE (NEAR SMOKY LAKE) COMPOSITE,Lake,2006,05-Aug-06 08:43,54.581390,-113.221110,113.221110,,1,,23.5,,0.051,,0.045,L,0.005,,,,,,1.84,1.845,,,0.10,19.88,6.42,2.80,,7,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE08746               ,AB05EC0320,MONS LAKE (NEAR SMOKY LAKE) COMPOSITE,Lake,2006,26-Aug-06 11:25,54.581390,-113.221110,113.221110,,1,,30.4,,0.05,,0.026,L,0.005,,,,,,1.84,1.845,,,0.40,19.56,6.42,2.80,,7,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE08977               ,AB05EC0320,MONS LAKE (NEAR SMOKY LAKE) COMPOSITE,Lake,2006,23-Sep-06 09:12,54.581390,-113.221110,113.221110,,1.25,,35.8,,0.06,,0.059,,0.007,,,,,,2.02,2.027,,,0.48,11.24,6.42,2.80,,7,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE01500               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2005,27-Jun-05 09:30,55.883330,-119.216670,119.216670,,2.75,,3.4,,0.1346,,,,0.016,,,,,,1.6,1.616,,,0.08,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
05SWE01884               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2005,27-Jul-05 10:50,55.883330,-119.216670,119.216670,,2,,8.7,,0.1387,,,,0.014,,,,,,1.55,1.564,,,0.39,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
05SWE02066               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2005,09-Aug-05 09:45,55.883330,-119.216670,119.216670,,1.8,,8.2,,0.1086,,,L,0.005,,,,,,1.42,1.425,,,0.34,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
05SWE02364               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2005,23-Aug-05 10:00,55.883330,-119.216670,119.216670,,2.25,,8.7,,0.0941,,,L,0.005,,,,,,1.49,1.495,,,0.12,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
05SWE03499               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2005,26-Sep-05 12:00,55.883330,-119.216670,119.216670,,2.25,,6.2,,0.08,,,,0.005,,,,,,1.44,1.445,,,0.07,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
06SWE10086               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2006,25-Jun-06 15:30,55.883330,-119.216670,119.216670,,2.83,,9.55,,0.066,,,,,,,,,,,,,,0.07,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
06SWE10281               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2006,11-Jul-06 14:54,55.883330,-119.216670,119.216670,,1.25,,42.2,,0.101,,,,,,,,,,,,,,0.07,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
06SWE10523               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2006,08-Aug-06 09:30,55.883330,-119.216670,119.216670,,3,,1.02,,0.277,,,,,,,,,,,,,,0.07,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
06SWE10711               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2006,28-Aug-06 09:30,55.883330,-119.216670,119.216670,,3,,3.34,,0.231,,,,,,,,,,,,,,0.07,,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
07SWE10569               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2007,12-Jul-07 09:55,55.883330,-119.216670,119.216670,,0.6,,235,,0.368,,0.061,L,0.005,,,,0.004,,4.91,4.915,,,0.07,21.37,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
07SWE10630               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2007,31-Jul-07 11:00,55.883330,-119.216670,119.216670,,0.9,,85.3,,0.438,,0.22,,0.009,,,,0.004,,3.54,3.549,,,1.28,19.18,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
07SWE10697               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2007,23-Aug-07 15:00,55.883330,-119.216670,119.216670,,0.8,,61.2,,0.613,,0.176,,0.01,,,,0.004,,4.6,4.61,,,0.33,17.31,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
07SWE10786               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2007,18-Sep-07 11:00,55.883330,-119.216670,119.216670,,1.2,,89.8,,0.286,,0.34,,0.04,,,,0.013,,2.92,2.96,,,0.07,11.86,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
08SWE09466               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2008,03-Jul-08 11:00,55.883330,-119.216670,119.216670,,0.75,,41.9,,0.112,,0.83,,,,,,,,4.16,,,,0.2,22,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
08SWE09472               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2008,17-Jul-08 12:00,55.883330,-119.216670,119.216670,,0.85,,127,,0.202,,,,,,,,,,,,,,1.56,19,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
08SWE09478               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2008,07-Aug-08 10:00,55.883330,-119.216670,119.216670,,0.9,,137,,0.409,,,,,,,,,,,,,,0.1,21,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
08SWE09484               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2008,25-Aug-08 09:10,55.883330,-119.216670,119.216670,,1.45,,34.5,,0.518,,,,,,,,,,,,,,0.89,17,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
08SWE02714               ,AB07FD0230,MOONSHINE LAKE - COMPOSITE (AB07FD0230),Reservoir,2008,22-Sep-08 14:00,55.883330,-119.216670,119.216670,,1.25,,44.5,,0.519,,,,,,,,,,,,,,0.07,13,2.48,0.28,0.37,3.5,1.3,6.84,0.404,,,24.43,Boreal,Dry Mixedwood,Northern Alberta Lowlands
05SWE08064               ,AB06AC0550,MOORE (CRANE) LAKE - COMPOSITE (AB06AC0550),Lake,2005,11-Jun-05 11:00,54.523890,-110.495560,110.495560,,1.6,,10,,0.028,,0.008,L,0.005,,,L,0.001,,1.06,1.065,,,0.19,15.95,19.40,9.28,77.4,26,8.3,37.10,1.86,>,100,4.00,Boreal,Central Mixedwood,Eastern Alberta Plains
